Título_Público Descricao_pública																																																				
Açúcar de frutas e aplicação em bolos como substituto da sacarose O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil	dessa maneira	contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário	a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.																																																
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção	destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo	agregação de valor e diferenciação de sabores	em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras	devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor	aroma e alto nível de aceitação ampliando a diversificação de produtos.																																															
Desenvolvimento de cobertura líquida para sorvete O Brasil é considerado um país com a maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma	busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais	sociais e econômicos	o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC)	alimentos e nutrição humana	linhas estas	relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).																																											
Desenvolvimento de conserva de tomate cereja O Brasil é considerado o país com maior biodiversidade do mundo	com diferentes espécies nos biomas da Amazônia	Mata Atlântica e Cerrado	onde são encontradas plantas frutíferas nativas	que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis	entendidas como as que integram benefícios ambientais	sociais e econômicos	e com diferencial competitivo. Em Mato Grosso do Sul	entre os abundantes frutos nativos do Cerrado	o baru (Dipteryx alata)	têm se destacado por ser fonte de renda para famílias	contribuindo para a conservação da biodiversidade. Neste sentido	através da inovação tecnológica	o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado	contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.																																						
NIR Celulose A tecnologia NIRs é um método que pode ser considerado não destrutivo	capaz de estimar um grande número de características da madeira	referentes às propriedades químicas	físicas	anatômicas e mecânicas	fazendo assim a busca pelo desenvolvimento dela nas empresas do setor florestal. Mas para que a ferramenta tenha sua efetiva utilização	é necessário ter um modelo de predição ajustado para os materiais genéticos e parâmetros de qualidade da madeira específicos para a celulose produzida pela empresa.																																														
Plástico Bambu A tecnologia de fabricação por filamento fundido (FFF) utilizando o polímero PLA(poli-ácido lático - plástico) é bem conhecida utilizando a impressão 3D. Contudo	o desenvolvimento de filamentos compósitos adição de resíduos de bambu para esta tecnologia de manufatura aditiva	bem como a determinação dos parâmetros de processamento e das propriedades resultantes na extrusão e na impressão 3D	ainda requerem pesquisa para escala comercial.  Dessa forma	o  projeto busca o resultado final indicar a melhor proporção de mistura (Bambu + Plástico) e temperatura para produção de um polímero (filamento) que possua boas características de dureza	resistência mecânica em condições de intemperismo	absorção de água	uniformidade de constituição química e resistência a fungos apodrecedores e cupins de solo.																																													
POP Corymbia - UFV Elaboração do Procedimento Operacional Padrão (POP) para a propagação clonal de clones de Corymbia spp.																																																				
Projeto Biotecnologia Florestal Atualmente	as florestas plantadas no Brasil compreendem cerca de 9 milhões de hectares	dos quais 6	97 milhões são florestas de eucaliptos e 1	64 milhões de Pinus. Essas florestas geraram um impacto na economia de 1	2% do PIB de 2019	do qual o setor de celulose e papel foi responsável por 46	5% da participação do PIB	demonstrando sua grande relevância e capacidade de geração de empregos diretos e indiretos (INDÚSTRIA BRASILEIRA DE ÁRVORES - IBÁ	2020). Sendo assim	o desenvolvimento de produtos em biotecnologia florestal se torna importante para a continua evolução do setor florestal	que tem uma grande importância na economia brasileira.  Dada a grande demanda por sustentabilidade e produtividade nas florestas	empresas privadas e órgãos públicos têm-se dedicado a pesquisas em melhoramento genético	visando a seleção de caracteres quali/quantitativos como altura	diâmetro	volume	qualidade da madeira e tolerância a doenças (GRATTAPAGLIA; KIRST	2008). Entretanto	devido ao longo período juvenil em especial na cultura do eucalipto	torna a seleção de árvores e disponibilização de materiais superiores um longo processo de 8 a12 anos (BOERJAN	2005). Considerando esse panorama	pesquisas em biotecnologia florestal têm sido cada vez mais aplicadas em diferentes espécies	visando diversificar os germoplasmas existentes	ampliar a variabilidade fenotípica e genética	acelerando os programas de melhoramento. A exemplo	podem-se citar o uso de poliploides sintéticos em diferentes materiais de eucaliptos	e o emprego de tecnologias que envolvem um alto investimento financeiro e técnico	como a transformação genética e a seleção genômica ampla (GRATTAPAGLIA; KIRST	2008; HAN et al.	2011; SILVA; CARVALHO; CLARINDO	2019).																						
Projeto Corymbia UFV Desenvolvimento de clones de Corymbia com produtividade maior que a existente atualmente.																																																				
Projeto estufim UFV O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim	estabelecendo critérios mais objetivos para a realização do manejo.																																																			
Projeto estufim UFV - Fase 2 Serão objetos de estudo os fatores de maior impacto na produção de mudas clonais por miniestaquia	com foco na caracterização do microclima desenvolvido no estufim enriquecido com CO2 e de como mudanças na qualidade da luz pode influenciar tanto a quantidade e qualidade de brotações quanto a capacidade de enraizamento dos diferentes genótipos (clones). E evidente a importância da determinação do papel da [CO2] e do uso de malhas coloridas na otimização da produção de miniestacas no minijardim. Entende- se como otimização	o incremento da produtividade de mudas com maior qualidade	isto é	maior enraizamento das miniestacas e reduzida ocorrência de doenças e danos fisiológicos por excesso de temperatura	por exemplo.																																															
Projeto NIR UFV Desenvolver a técnica de espectroscopia no infravermelho próximo (NIR) para caracterizar a qualidade da madeira e do carvão vegetal	através da calibração e validação de modelos de predição de características da madeira e do carvão vegetal.																																																			
Projeto pirólise rápida UFV Desenvolvimento de tecnologias para desenvolvimento de produtos com resíduos florestais.																																																				
Projeto Resíduo Madeireiro Dentre as atividades florestais	a colheita florestal é a operação que gera maior custo à madeira posta na fábrica	a qual compreende as atividades de corte	extração	carregamento  da  madeira  nos  veículos  de  transporte	além  de  demais  ações  que venham a ocorrer no talhão florestal (Machado et al.	2014). Qualquer perturbação que ocorra no planejamento de alguma dessas atividades pode influenciar o desempenho e a  qualidade  destas  operações	o  que	consequentemente	influencia  a  tomada  de decisão do processo de produção (Vatraz & Borges	2019;Diniz et al.	2019).   Atualmente	com    o    intenso    desenvolvimento    dasgeotecnologias    e desenvolvimento de sensores orbitais e aero-transportados têm-se difundido inúmeras informações  de  elevado  detalhamento  do  objeto	espectral  e  espacial	o  que  permite acompanhamento  diário  da  dinâmica  do  ambiente.  Essa  tecnologia  pode  ajudar  a identificar  e  quantificar  no  campo resíduosflorestais	principalmente	de  volume comercial. Contudo	um dos grandes desafios é extrair informações desses dados para  gerar  produtos  e  serviços	tanto  no  âmbito  da  confiabilidade  quanto  na  qualidade  doproduto final extraído.																																		
Projeto Tanino UFV O projeto tem objetivo de desenvolver tecnologias referentes a utilização e aplicação de diferentes taninos na wet end como aditivo do processo de produção de embalagem de alta qualidade.																																																				
Propagação de Açai Ferramentas biotecnológicas	como a embriogênese somática	têm sido desenvolvidas para a multiplicação de palmeiras em decorrência das dificuldades de propagar vegetativamente essas espécies por métodos convencionais. Para o açaizeiro (Euterpe oleracea)	porém	poucos estudos de embriogênese somática foram desenvolvidos (Ledo et al. 2002; Scherwinski-Pereira et al. 2012; Freitas et al. 2016)	sendo a grande maioria utilizando embriões zigóticos como explantes. Contudo	a utilização de cultura de embriões zigóticos ou inflorescências dificultam o uso rotineiro da embriogênese somática para a clonagem de plantas matrizes selecionadas devido a segregação do material genético após a fertilização cruzada.  Os protocolos de regeneração in vitro estabelecidos para Euterpe oleracea estão longe de ser uma realidade devido a reduzida taxa de formação de embriões somáticos. Além disso	a utilização de cultura de embriões zigóticos ou inflorescências dificultam o uso rotineiro da embriogênese somática para a clonagem de plantas matrizes selecionadas devido a segregação do material genético após a fertilização cruzada.  Dessa forma o projeto visa estabelecer sistemas de  regeneração viáveis de Euterpe oleracea.																																													
Resíduos de Cannabis A produção medicinal da planta no Brasil não é apenas uma oportunidade de atender às necessidades de saúde da população	mas também uma chance de impulsionar o desenvolvimento econômico e tecnológico do país. Ao desenvolver estratégias eficazes para o gerenciamento e aproveitamento dos resíduos da produção de Cannabis medicinal	é possível não apenas reduzir o impacto ambiental da indústria	mas também criar novas fontes de receita e promover a sustentabilidade econômica e ambiental do setor.																																																	
SAF Dendê Em escala comercial as análises de viabilidade de sistemas agroflorestais com Palma são mais complexas	envolvendo	além das questões de produtividade	as perspectivas de negócio de outras possíveis culturas que comporão os sistemas	ou seja	uma análise de caráter econômico mais rigoroso. Neste cenário	são escassas as pesquisas que consideram as análises de rendimentos operacionais	custos e viabilidade econômica	normalmente diante ao extenso horizonte de planejamento da cultura da Palma	bem como da complexidade decorrentes das variáveis envolvidas. Entende-se	assim	que a proposição de modelos de sistemas agroflorestais para o cultivo da Palma-de-óleo deve ser baseada em metodologias que considerem diagnósticos relacionados a aspectos mercadológicos (mercados de produtos e eventuais certificações/selos a eles associados)	técnicos/operacionais e de modelagem econômica. E de forma complementar	devem-se considerar também resultados de validações em campo capazes de subsidiar decisões para planejamento e adoção.																																							
Secagem	Pré-pirolise e carbonização de madeira  - UFV O projeto tem como objetivo  criação de um sistema de secagem artificial e pré pirolise da madeira	além da obtenção de tempos e temperaturas do sistema de secagem.																																																		
Sementes híbridas Diante do atual cenário desafiador	tanto de mercado quanto da manutenção de altas produtividades florestais	é estratégico para as empresas que dependem da madeira de Eucalyptus e Corymbia	ter alternativas de melhor qualidade para produção de sua própria matéria-prima. Havendo a possibilidade de eventos futuros ameaçarem a estabilidade e a integridade das suas plantações florestais (déficit hídrico	doenças	pragas)	investir em programa de melhoramento genético em que as metas e as estratégias são bem definidas têm se mostrado ser muito eficiente	e com ganhos de produtividade e qualidade significativos. Sendo assim o projeto visa desenvolver sementes híbridas de Eucalyptus spp. melhoradas com características específicas de seus indivíduos com qualidade e produtividade: altas densidade	alta lignina	alto carbono fixo e outras características importantes para a produção de carvão vegetal para a siderurgia.																																											
